STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,PCICBSA10,PCINECTA10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
17,77707,02400065,1777707,Verona,Verona village,47,C1,N,N,G4110,A,415851,0,+41.2156822,-088.5049042
17,71370,02399862,1771370,South Wilmington,South Wilmington village,47,C1,N,N,G4110,A,1452677,0,+41.1744076,-088.2813283
17,68640,02399784,1768640,Seneca,Seneca village,47,C1,N,N,G4110,A,17183334,1107894,+41.2866018,-088.6278116
17,50491,02395407,1750491,Morris,Morris city,25,C1,N,N,G4110,A,24455986,943808,+41.3740700,-088.4327649
17,47787,02399282,1747787,Mazon,Mazon village,47,C1,N,N,G4110,A,1528123,15897,+41.2414606,-088.4231012
17,40143,02398356,1740143,Kinsman,Kinsman village,47,C1,N,N,G4110,A,171680,0,+41.1902779,-088.5699352
17,28638,02398944,1728638,Gardner,Gardner village,47,C1,N,N,G4110,A,7552134,71246,+41.1949335,-088.3138152
17,21579,02398770,1721579,East Brooklyn,East Brooklyn village,47,C1,N,N,G4110,A,140618,1521,+41.1726867,-088.2654262
17,21358,02398764,1721358,Dwight,Dwight village,47,C1,N,N,G4110,A,8332484,26588,+41.0982529,-088.4248923
17,11176,02397551,1711176,Carbon Hill,Carbon Hill village,47,C1,N,N,G4110,A,476591,0,+41.2969738,-088.2998927
17,07640,02398160,1707640,Braceville,Braceville village,47,C1,N,N,G4110,A,7265240,166080,+41.2234884,-088.2721140
17,30120,02398985,1730120,Godley,Godley village,47,C1,N,N,G4110,A,2817426,2435,+41.2443774,-088.2426202
17,19837,02398721,1719837,Diamond,Diamond village,47,C1,N,N,G4110,A,4889496,0,+41.2851609,-088.2506460
17,15170,02398586,1715170,Coal City,Coal City village,47,C1,N,N,G4110,A,12700971,243831,+41.2798291,-088.2778512
17,12476,02397601,1712476,Channahon,Channahon village,47,C1,N,N,G4110,A,38822722,3695468,+41.4228902,-088.2628711
17,49607,02399376,1749607,Minooka,Minooka village,47,C1,N,N,G4110,A,24482072,197063,+41.4510019,-088.2795043
17,28612,02512769,1728612,Garden Prairie,Garden Prairie village,47,C1,N,N,G4110,A,2346256,20510,+42.2536209,-088.7129230
17,79293,02397222,1779293,Waukegan,Waukegan city,25,C1,N,N,G4110,A,61313747,541428,+42.3694469,-087.8708984
17,79267,02400108,1779267,Wauconda,Wauconda village,47,C1,N,N,G4110,A,13076172,1766061,+42.2770051,-088.1352718
17,78370,02400079,1778370,Wadsworth,Wadsworth village,47,C1,N,N,G4110,A,24802762,235426,+42.4252170,-087.9015673
17,78227,02400077,1778227,Volo,Volo village,47,C1,N,N,G4110,A,10160937,203192,+42.3299228,-088.1634183
17,77694,02400063,1777694,Vernon Hills,Vernon Hills village,47,C1,N,N,G4110,A,19962425,537157,+42.2344074,-087.9610644
17,75874,02399999,1775874,Tower Lakes,Tower Lakes village,47,C1,N,N,G4110,A,2354511,322470,+42.2278440,-088.1552395
17,75081,02399970,1775081,Third Lake,Third Lake village,47,C1,N,N,G4110,A,1526857,680744,+42.3697628,-088.0090925
17,66066,02399134,1766066,Round Lake Park,Round Lake Park village,47,C1,N,N,G4110,A,5381435,517331,+42.3492304,-088.0791436
17,66053,02399133,1766053,Round Lake Heights,Round Lake Heights village,47,C1,N,N,G4110,A,1464121,95840,+42.3846096,-088.1058971
17,66040,02399132,1766040,Round Lake Beach,Round Lake Beach village,47,C1,N,N,G4110,A,13112462,399622,+42.3824089,-088.0806888
17,66027,02399131,1766027,Round Lake,Round Lake village,47,C1,N,N,G4110,A,14157000,427758,+42.3434597,-088.1022984
17,64538,02399094,1764538,Riverwoods,Riverwoods village,47,C1,N,N,G4110,A,10270766,120299,+42.1729033,-087.8948615
17,61216,02399001,1761216,Port Barrington,Port Barrington village,47,C1,N,N,G4110,A,2979445,351151,+42.2440264,-088.1952006
17,57654,02396144,1757654,Park City,Park City city,25,C1,N,N,G4110,A,3070395,4881,+42.3536657,-087.8923813
17,55639,02399567,1755639,Old Mill Creek,Old Mill Creek village,47,C1,N,N,G4110,A,27533263,449697,+42.4331332,-087.9821999
17,53559,02395253,1753559,North Chicago,North Chicago city,25,C1,N,N,G4110,A,20457887,37866,+42.3166958,-087.8592012
17,53455,02399510,1753455,North Barrington,North Barrington village,47,C1,N,N,G4110,A,12012520,664225,+42.2077950,-088.1317301
17,51349,02399428,1751349,Mundelein,Mundelein village,47,C1,N,N,G4110,A,24773260,1034614,+42.2691061,-088.0114783
17,48671,02399328,1748671,Mettawa,Mettawa village,47,C1,N,N,G4110,A,13763753,208343,+42.2429539,-087.9211923
17,44524,02398471,1744524,Long Grove,Long Grove village,47,C1,N,N,G4110,A,32311735,608497,+42.1948579,-088.0102636
17,43770,02398444,1743770,Lindenhurst,Lindenhurst village,47,C1,N,N,G4110,A,11505703,864123,+42.4171467,-088.0264345
17,43666,02398442,1743666,Lincolnshire,Lincolnshire village,47,C1,N,N,G4110,A,11857538,243561,+42.1965184,-087.9177373
17,43250,02398436,1743250,Libertyville,Libertyville village,47,C1,N,N,G4110,A,22827427,875021,+42.2861153,-087.9642090
17,41742,02398386,1741742,Lake Zurich,Lake Zurich village,47,C1,N,N,G4110,A,17521966,1081007,+42.1948774,-088.0877732
17,41586,02398385,1741586,Lake Villa,Lake Villa village,47,C1,N,N,G4110,A,16022433,2081344,+42.4175730,-088.0826094
17,41326,02398387,1741326,Lakemoor,Lakemoor village,47,C1,N,N,G4110,A,12969753,629046,+42.3398271,-088.2027307
17,41105,02395590,1741105,Lake Forest,Lake Forest city,25,C1,N,N,G4110,A,44489687,170853,+42.2379029,-087.8589479
17,40910,02398377,1740910,Lake Bluff,Lake Bluff village,47,C1,N,N,G4110,A,10499759,18775,+42.2826952,-087.8523056
17,40884,02398376,1740884,Lake Barrington,Lake Barrington village,47,C1,N,N,G4110,A,15181441,796348,+42.2102369,-088.1694914
17,39883,02398344,1739883,Kildeer,Kildeer village,47,C1,N,N,G4110,A,11339684,550920,+42.1893173,-088.0485368
17,37894,02398279,1737894,Island Lake,Island Lake village,47,C1,N,N,G4110,A,8775303,537113,+42.2792669,-088.1990839
17,37218,02398570,1737218,Indian Creek,Indian Creek village,47,C1,N,N,G4110,A,665547,0,+42.2270704,-087.9779158
17,34865,02394379,1734865,Highwood,Highwood city,25,C1,N,N,G4110,A,1849756,0,+42.2060306,-087.8129284
17,34722,02394377,1734722,Highland Park,Highland Park city,25,C1,N,N,G4110,A,31594789,84686,+42.1826282,-087.8096438
17,33630,02398267,1733630,Hawthorn Woods,Hawthorn Woods village,47,C1,N,N,G4110,A,19958923,560486,+42.2440673,-088.0656952
17,32200,02398222,1732200,Hainesville,Hainesville village,47,C1,N,N,G4110,A,4603992,88383,+42.3362008,-088.0734498
17,32018,02398219,1732018,Gurnee,Gurnee village,47,C1,N,N,G4110,A,34957551,196682,+42.3700597,-087.9374251
17,31446,02398202,1731446,Green Oaks,Green Oaks village,47,C1,N,N,G4110,A,10416171,266057,+42.2963012,-087.9141425
17,31121,02398198,1731121,Grayslake,Grayslake village,47,C1,N,N,G4110,A,25557703,538447,+42.3415922,-088.0278630
17,27533,02398913,1727533,Fox River Grove,Fox River Grove village,47,C1,N,N,G4110,A,4607394,0,+42.1954275,-088.2145010
17,27442,02398912,1727442,Fox Lake,Fox Lake village,47,C1,N,N,G4110,A,21018446,4718699,+42.4264366,-088.1819195
17,04303,02398056,1704303,Beach Park,Beach Park village,47,C1,N,N,G4110,A,18391645,0,+42.4422543,-087.8753200
17,03610,02398029,1703610,Bannockburn,Bannockburn village,47,C1,N,N,G4110,A,5226189,59647,+42.1922263,-087.8698045
17,01595,02397970,1701595,Antioch,Antioch village,47,C1,N,N,G4110,A,21270463,996039,+42.4743925,-088.0703865
17,57225,02399608,1757225,Palatine,Palatine village,47,C1,N,N,G4110,A,35267245,370765,+42.1180137,-088.0427961
17,81087,02400161,1781087,Wheeling,Wheeling village,47,C1,N,N,G4110,A,22535724,154296,+42.1307882,-087.9239173
17,19083,02398704,1719083,Deer Park,Deer Park village,47,C1,N,N,G4110,A,9620069,296598,+42.1662835,-088.0861798
17,18992,02398705,1718992,Deerfield,Deerfield village,47,C1,N,N,G4110,A,14457419,102681,+42.1660688,-087.8524665
17,09447,02397490,1709447,Buffalo Grove,Buffalo Grove village,47,C1,N,N,G4110,A,24606159,75099,+42.1659808,-087.9618258
17,03844,02398037,1703844,Barrington,Barrington village,47,C1,N,N,G4110,A,11955694,486379,+42.1526305,-088.1276180
